domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
freshworks.com,ok,60.59,126.58,249.78,2,97.33,0.1,
zoho.com,ok,87.41,180.35,357.81,2,98.4,0.1,
cyient.com,failed,,,,,,0.1,_ssl.c:983: The handshake operation timed out
hexaware.com,ok,29.1,63.6,123.82,2,94.69,0.1,
mindtree.com,failed,,,,,,0.1,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mindtree.com'. (_ssl.c:1000)"
mphasis.com,ok,32.59,70.58,137.78,2,95.21,0.1,
ltimindtree.com,ok,104.67,214.97,427.47,2,98.85,0.1,
techmahindra.com,ok,73.22,151.88,300.53,2,97.87,0.1,
hcltech.com,ok,5.9,17.2,31.02,2,80.35,0.1,
wipro.com,ok,134.44,274.69,547.63,2,99.36,0.1,
infosys.com,ok,22.05,49.5,95.62,2,93.17,0.1,
tcs.com,ok,64.47,134.34,265.3,2,97.48,0.1,
nestaway.com,ok,189.92,385.98,771.56,2,99.9,0.1,
propertywala.com,ok,26.41,58.22,113.06,2,94.19,0.1,
realestateindia.com,ok,4.81,15.02,26.66,2,77.5,0.1,
commonfloor.com,ok,185.44,376.99,753.48,2,99.87,0.1,
proptiger.com,ok,45.71,96.82,190.26,2,96.51,0.1,
makaan.com,ok,29.61,64.62,125.86,2,94.77,0.1,
squareyards.com,ok,70.29,146.0,288.71,2,97.75,0.1,
nobroker.in,ok,9.82,25.04,46.7,2,86.5,0.1,
housing.com,ok,198.66,403.51,806.84,2,99.96,0.1,
99acres.com,ok,90.81,187.17,371.53,2,98.5,0.1,
magicbricks.com,ok,95.81,197.2,391.71,2,98.64,0.1,
linkedin.com,ok,21.18,47.76,92.14,2,92.92,0.1,
indeed.co.in,ok,30.93,67.26,131.14,2,94.97,0.1,
glassdoor.co.in,ok,40.55,86.5,169.62,2,96.09,0.1,
apna.co,ok,22.44,50.28,97.18,2,93.28,0.1,
internshala.com,ok,91.25,188.05,373.31,2,98.52,0.1,
timesjobs.com,ok,45.12,95.64,187.9,2,96.47,0.1,
shine.com,ok,22.98,51.36,99.34,2,93.42,0.1,
foundit.in,ok,33.93,73.26,143.14,2,95.39,0.1,
naukri.com,ok,21.8,49.0,94.62,2,93.1,0.1,
wb.gov.in,ok,24.58,54.56,105.74,2,93.8,0.1,
mp.gov.in,failed,,,,,,0.1,[SSL: UNSAFE_LEGACY_RENEGOTIATION_DISABLED] unsafe legacy renegotiation disabled (_ssl.c:1000)
rajasthan.gov.in,ok,40.64,86.68,169.98,2,96.1,0.1,
gujaratindia.com,ok,64.15,133.7,264.02,2,97.47,0.1,
kerala.gov.in,ok,38.95,83.3,163.22,2,95.94,0.1,
karnataka.gov.in,ok,11.34,28.08,52.78,2,87.96,0.1,
