domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
rajasthan.gov.in,ok,187.39,393.52,842.2,2,114.02,1.2,
gujaratindia.com,ok,145.09,305.82,653.21,2,113.59,1.2,
kerala.gov.in,ok,183.47,385.39,824.68,2,113.99,1.2,
karnataka.gov.in,ok,65.64,141.17,298.74,2,111.62,1.2,
tn.gov.in,ok,37.08,84.05,184.5,2,119.51,1.2,
maharashtra.gov.in,ok,160.3,337.35,721.17,2,113.78,1.2,
up.gov.in,ok,26.86,63.61,143.62,2,125.78,1.2,
delhi.gov.in,ok,93.1,198.03,420.94,2,112.56,1.2,
iisc.ac.in,ok,58.37,126.63,269.66,2,112.95,1.2,
iitsystem.ac.in,ok,45.93,101.75,219.9,2,116.12,1.2,
aicte-india.org,ok,77.44,165.56,350.98,2,112.0,1.2,
ugc.ac.in,ok,26.94,63.77,143.94,2,125.72,1.2,
swayam.gov.in,failed,,,,,,1.2,_ssl.c:983: The handshake operation timed out
nptel.ac.in,ok,68.51,147.04,311.08,2,111.56,1.2,
ignou.ac.in,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)
cbse.gov.in,ok,102.69,217.91,463.79,2,112.84,1.2,
nta.ac.in,ok,9.62,29.13,74.66,2,156.3,1.2,
digilocker.gov.in,ok,44.62,99.13,214.66,2,116.54,1.2,
cowin.gov.in,ok,232.67,487.4,1044.49,2,114.3,1.2,
parivahan.gov.in,ok,229.32,480.45,1029.53,2,114.28,1.2,
passportindia.gov.in,ok,25.29,60.47,137.34,2,127.12,1.2,
eprovidentfund.gov.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
mca.gov.in,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)
gst.gov.in,ok,319.45,667.32,1432.2,2,114.62,1.2,
incometax.gov.in,failed,,,,,,1.2,[Errno 11001] getaddrinfo failed
uidai.gov.in,ok,245.56,514.12,1102.08,2,114.36,1.2,
india.gov.in,ok,35.09,80.07,176.54,2,120.48,1.2,
adityabirlacapital.com,ok,307.84,643.25,1380.33,2,114.59,1.2,
shriramfinance.in,ok,281.89,589.45,1264.39,2,114.5,1.2,
cholamandalam.com,ok,180.1,378.4,809.63,2,113.96,1.2,
manappuram.com,ok,239.84,502.26,1076.53,2,114.34,1.2,
muthootfinance.com,ok,252.77,529.07,1134.29,2,114.39,1.2,
bajajfinserv.in,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
maxlifeinsurance.com,ok,7.26,24.41,65.22,2,167.19,1.2,
iciciprulife.com,ok,9.49,28.87,74.14,2,156.81,1.2,
hdfclife.com,ok,42.72,95.33,207.06,2,117.2,1.2,
sbilife.co.in,ok,97.23,206.59,439.39,2,112.69,1.2,
licindia.in,ok,136.51,288.03,614.88,2,113.48,1.2,
digit.in,ok,278.74,582.92,1250.32,2,114.49,1.2,
acko.com,ok,101.56,215.57,458.74,2,112.8,1.2,
coverfox.com,ok,231.24,484.43,1038.1,2,114.29,1.2,
paisabazaar.com,ok,222.41,466.13,998.65,2,114.24,1.2,
bankbazaar.com,ok,87.02,185.42,393.78,2,112.37,1.2,
policybazaar.com,ok,158.31,333.23,712.28,2,113.75,1.2,
kotaksec.com,failed,,,,,,1.2,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'kotaksec.com'. (_ssl.c:1000)"
motilaloswal.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
sharekhan.com,failed,,,,,,1.2,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1000)
