domain,status,baseline_rtt_ms,baseline_ttfb_ms,pqc_ttfb_ms,extra_flights,degradation_pct,packet_loss_pct,error
freshworks.com,ok,194.34,436.74,1093.38,2,150.35,3.5,
zoho.com,ok,205.04,460.51,1153.3,2,150.44,3.5,
cyient.com,failed,,,,,,3.5,_ssl.c:983: The handshake operation timed out
hexaware.com,ok,185.64,417.41,1044.65,2,150.27,3.5,
mindtree.com,failed,,,,,,3.5,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'mindtree.com'. (_ssl.c:1000)"
mphasis.com,ok,73.07,167.33,414.22,2,147.55,3.5,
ltimindtree.com,ok,34.86,89.49,251.13,2,180.62,3.5,
techmahindra.com,ok,5.45,30.67,133.49,2,335.25,3.5,
hcltech.com,ok,5.79,31.35,134.85,2,330.14,3.5,
wipro.com,ok,29.38,78.53,229.21,2,191.88,3.5,
infosys.com,ok,8.09,35.95,144.05,2,300.7,3.5,
tcs.com,ok,109.54,248.35,618.47,2,149.03,3.5,
nestaway.com,ok,273.04,611.58,1534.13,2,150.85,3.5,
propertywala.com,ok,34.38,88.53,249.21,2,181.5,3.5,
realestateindia.com,ok,409.25,914.17,2296.95,2,151.26,3.5,
commonfloor.com,ok,132.39,299.11,746.43,2,149.55,3.5,
proptiger.com,ok,40.88,101.53,275.21,2,171.06,3.5,
makaan.com,ok,96.6,219.6,546.0,2,148.63,3.5,
squareyards.com,ok,98.31,223.4,555.57,2,148.69,3.5,
nobroker.in,ok,5.54,30.85,133.85,2,333.87,3.5,
housing.com,ok,185.61,417.34,1044.49,2,150.27,3.5,
99acres.com,ok,46.08,111.93,296.01,2,164.46,3.5,
magicbricks.com,ok,108.1,245.15,610.4,2,148.99,3.5,
linkedin.com,ok,45.94,111.65,295.45,2,164.62,3.5,
indeed.co.in,ok,41.81,103.39,278.93,2,169.78,3.5,
glassdoor.co.in,ok,32.64,85.05,242.25,2,184.83,3.5,
apna.co,ok,20.24,60.25,192.65,2,219.75,3.5,
internshala.com,ok,86.02,196.1,486.74,2,148.21,3.5,
timesjobs.com,ok,57.9,135.57,343.29,2,153.22,3.5,
shine.com,ok,31.07,81.91,235.97,2,188.08,3.5,
foundit.in,ok,39.11,97.99,268.13,2,173.63,3.5,
naukri.com,ok,39.51,98.79,269.73,2,173.03,3.5,
wb.gov.in,ok,14.31,48.39,168.93,2,249.1,3.5,
mp.gov.in,failed,,,,,,3.5,[SSL: UNSAFE_LEGACY_RENEGOTIATION_DISABLED] unsafe legacy renegotiation disabled (_ssl.c:1000)
rajasthan.gov.in,ok,82.1,187.39,464.79,2,148.03,3.5,
gujaratindia.com,ok,397.89,888.94,2233.33,2,151.24,3.5,
kerala.gov.in,ok,51.71,123.19,318.53,2,158.57,3.5,
karnataka.gov.in,ok,24.84,69.45,211.05,2,203.89,3.5,
tn.gov.in,ok,20.45,60.67,193.49,2,218.92,3.5,
maharashtra.gov.in,ok,66.95,153.73,379.95,2,147.15,3.5,
up.gov.in,ok,90.57,206.21,512.23,2,148.4,3.5,
delhi.gov.in,ok,107.04,242.8,604.46,2,148.95,3.5,
iisc.ac.in,ok,52.98,125.73,323.61,2,157.38,3.5,
iitsystem.ac.in,ok,51.1,121.97,316.09,2,159.15,3.5,
aicte-india.org,ok,82.04,187.26,464.45,2,148.02,3.5,
ugc.ac.in,ok,40.33,100.43,273.01,2,171.84,3.5,
swayam.gov.in,ok,55.54,130.85,333.85,2,155.14,3.5,
nptel.ac.in,ok,145.3,327.79,818.73,2,149.77,3.5,
ignou.ac.in,failed,,,,,,3.5,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)
cbse.gov.in,ok,124.96,282.61,704.82,2,149.4,3.5,
nta.ac.in,ok,9.82,39.41,150.97,2,283.08,3.5,
digilocker.gov.in,ok,41.67,103.11,278.37,2,169.97,3.5,
cowin.gov.in,ok,41.11,101.99,276.13,2,170.74,3.5,
parivahan.gov.in,ok,138.63,312.98,781.38,2,149.66,3.5,
passportindia.gov.in,failed,,,,,,3.5,[SSL: UNSAFE_LEGACY_RENEGOTIATION_DISABLED] unsafe legacy renegotiation disabled (_ssl.c:1000)
eprovidentfund.gov.in,failed,,,,,,3.5,[Errno 11001] getaddrinfo failed
